Strand	Length	PID	Gene	Synonym	Code	COG	Product	Pos_Start	Pos_End	Predicted_Operon
+	210	16080285	yutC	BSU32320	-	-	lipoprotein	3319676	3320308	OF770
-	298	50812289	lipA	BSU32330	-	COG0320H	lipoyl synthase	3320324	3321220	OR1
+	326	255767742	lytH	BSU32340	-	COG0739M	sporulation-specific L-Ala-D-Glu endopeptidase	3321455	3322435	OF771
-	254	16080288	yunB	BSU32350	-	-	spore formation protein	3322463	3323227	OR1
-	101	16080289	yunC	BSU32360	-	COG3377S	RNA binding protein	3323300	3323605	OR1
-	462	16080290	yunD	BSU32370	-	COG0737F	nuclease/nucleotidase/phosphoesterase	3323670	3325058	OR1
-	273	16080291	yunE	BSU32380	-	COG0730R	hypothetical protein	3325078	3325899	OR1
-	282	255767743	yunF	BSU32390	-	COG1801S	hypothetical protein	3325917	3326765	OR1
-	115	16080293	yunG	BSU32400	-	-	hypothetical protein	3326803	3327150	OR1
-	446	16080294	pucH	BSU32410	-	COG0044F	allantoinase	3327247	3328587	OR1
+	531	16080295	pucR	BSU32420	-	COG2508TQ	purine degradation operon transcriptional regulator	3328762	3330357	OF772
+	449	16080296	pucJ	BSU32430	-	COG2233F	uric acid permease	3330502	3331851	OF773
+	430	16080297	pucK	BSU32440	-	COG2233F	uric acid permease	3331857	3333149	OF773
+	494	16080298	pucL	BSU32450	-	COG3648Q	urate oxidase with peroxide reductase N-terminal domain	3333162	3334646	OF773
+	114	255767744	pucM	BSU32460	-	COG2351R	urate oxidase structural factor	3334646	3334990	OF773
+	43	255767745	yuzJ	BSU32469	-	-	hypothetical protein	3335414	3335545	OF773
-	173	16080300	pucE	BSU32470	-	COG2080C	xanthine dehydrogenase, iron-sulfur subunit	3335751	3336272	OR1
-	745	16080301	pucD	BSU32480	-	COG1529C	xanthine dehydrogenase, substrate and molybdenum cofactor subunit	3336263	3338500	OR1
-	277	16080302	pucC	BSU32490	-	COG1319C	xanthine dehydrogenase, FAD-binding subunit	3338501	3339334	OR1
-	205	255767746	pucB	BSU32500	-	COG2068R	enzyme for molybdopterin cofactor synthesis required for xanthine dehydrogenase	3339331	3339948	OR1
-	330	16080304	pucA	BSU32510	-	COG1975O	xanthine dehydrogenase molybdopterin recruitment factor	3339945	3340937	OR1
-	416	16080305	pucG	BSU32520	-	COG0075E	ureidoglycolate lyase	3341166	3342416	OR1
-	412	16080306	yurH	BSU32530	-	COG0624E	allantoate amidohydrolase	3342433	3343671	OR1
+	288	16080307	bsn	BSU32540	-	COG2356L	ribonuclease	3344113	3344979	OF774
-	367	16080308	yurJ	BSU32550	-	COG3839G	multiple sugar ABC transporter ATP-binding protein	3345013	3346116	OR1
+	262	161511067	frlR	BSU32560	-	COG2188K	DNA-binding transcriptional regulator FrlR	3346238	3347026	OF775
-	284	16080310	frlD	BSU32570	-	COG0524G	fructoselysine kinase	3347051	3347905	OR1
-	300	16080311	frlM	BSU32580	-	COG0395G	fructose-amino acid permease	3347919	3348821	OR1
-	292	16080312	frlN	BSU32590	-	COG1175G	fructose-amino acid permease	3348825	3349703	OR1
-	422	16080313	frlO	BSU32600	-	COG1653G	fructose amino acid-binding lipoprotein	3349761	3351029	OR1
-	328	16080314	frlB	BSU32610	-	COG2222M	fructoselysine-6-P-deglycase	3351110	3352096	OR1
-	124	16080315	yurQ	BSU32620	-	COG0322L	excinuclease	3352312	3352686	OR1
-	372	16080316	yurR	BSU32630	-	COG0665E	oxidoreductase	3352789	3353907	OR1
+	48	50812290	sspG	BSU32640	-	-	small acid-soluble spore protein	3354066	3354212	OF776
+	91	16080317	yurS	BSU32650	-	-	hypothetical protein	3354212	3354487	OF776
-	127	16080318	yurT	BSU32660	-	COG0346E	methylglyoxalase	3354551	3354934	OR1
-	92	255767747	yuzN	BSU32669	-	COG0640K	transcriptional regulator	3355045	3355323	OR1
-	465	16080319	sufB	BSU32670	-	COG0719O	FeS cluster formation protein	3355593	3356990	OR1
-	147	16080320	iscU	BSU32680	-	COG0822C	iron-sulfur cluster assembly scaffold protein	3357011	3357454	OR1
-	406	16080321	sufS	BSU32690	-	COG0520E	cysteine desulfurase	3357444	3358664	OR1
-	437	16080322	sufD	BSU32700	-	COG0719O	FeS assembly protein SufD	3358664	3359977	OR1
-	261	16080323	sufC	BSU32710	-	COG0396O	sulfur mobilizing ABC protein, ATPase	3359995	3360780	OR1
-	45	255767748	yuzK	BSU32719	-	-	hypothetical protein	3360974	3361111	OR1
-	125	16080324	yurZ	BSU32720	-	COG0599S	hypothetical protein	3361305	3361682	OR1
-	274	16080325	metN	BSU32730	-	COG1464P	methionine ABC transporter, substrate binding lipoprotein	3361767	3362591	OR1
-	222	16080326	metP	BSU32740	-	COG2011P	methionine ABC transporter permease	3362605	3363273	OR1
-	341	16080327	metQ	BSU32750	-	COG1135P	methionine ABC transporter ATP-binding protein	3363266	3364291	OR1
-	114	16080328	yusD	BSU32760	-	-	hypothetical protein	3364618	3364962	OR1
-	106	16080329	yusE	BSU32770	-	COG0526OC	thiol-disulfide oxidoreductase	3365069	3365389	OR1
-	146	16080330	yusF	BSU32780	-	COG1658L	ribonuclease	3365391	3365831	OR1
-	78	16080331	yusG	BSU32790	-	-	hypothetical protein	3365831	3366067	OR1
-	127	16080332	yusH	BSU32800	-	COG0509E	glycine cleavage system protein H	3366123	3366506	OR1
-	118	16080333	yusI	BSU32810	-	COG1393P	oxidoreductase	3366573	3366929	OR1
-	594	16080334	fadE	BSU32820	-	COG1960I	acyl-CoA dehydrogenase	3367040	3368824	OR1
-	391	16080335	yusK	BSU32830	-	COG0183I	acetyl-CoA acetyltransferase	3368839	3370014	OR1
-	815	16080336	fadN	BSU32840	-	COG1250I	enoyl-CoA hydratase	3370025	3372472	OR1
+	48	255767749	yuzL	BSU32849	-	-	hypothetical protein	3372569	3372715	OF776
-	302	16080337	fadM	BSU32850	-	COG0506E	fatty acids degradation oxidoreductase	3372740	3373648	OR1
+	81	255767750	yuzM	BSU32859	-	-	hypothetical protein	3373743	3373988	OF777
+	110	16080338	yusN	BSU32860	-	COG5577M	hypothetical protein	3374001	3374333	OF777
+	155	16080339	yusO	BSU32870	-	COG1846K	MarR family transcriptional regulator	3374492	3374959	OF777
+	541	16080340	yusP	BSU32880	-	COG2814G	multidrug-efflux transporter	3374956	3376581	OF777
-	127	16080341	yusQ	BSU32890	-	-	tautomerase	3376617	3377000	OR1
-	129	16080342	yusR	BSU32900	-	COG1028IQR	3-oxoacyl-ACP reductase	3377019	3377408	OR1
-	109	16080343	yusS	BSU32910	-	COG1028IQR	3-oxoacyl-ACP reductase	3377430	3377759	OR1
+	295	16080344	yusT	BSU32920	-	COG0583K	LysR family transcriptional regulator	3377893	3378780	OF777
-	95	16080345	yusU	BSU32930	-	-	hypothetical protein	3378800	3379087	OR1
-	275	16080346	yusV	BSU32940	-	COG1120PH	iron(III)-siderophore transporter ATP binding protein	3379112	3379939	OR1
-	145	16080347	yusW	BSU32950	-	-	lipoprotein	3380157	3380594	OR1
+	280	16080350	yusZ	BSU32980	-	COG4221R	short chain dehydrogenase	3382633	3383475	OF778
+	153	16080351	mrgA	BSU32990	-	COG0783P	metalloregulation DNA-binding stress protein	3383565	3384026	OF779
-	458	50812291	htrB	BSU33000	-	COG0265O	HtrA-like serine protease	3384070	3385446	OR1
+	225	16080354	cssR	BSU33010	-	COG0745TK	two-component response regulator	3385724	3386401	OF780
+	451	255767751	cssS	BSU33020	-	COG0642T	two-component sensor histidine kinase	3386398	3387753	OF780
-	54	255767752	yuzO	BSU33029	-	-	hypothetical protein	3387781	3387945	OR1
+	291	16080356	yuxN	BSU33030	-	COG1309K	transcriptional regulator	3388113	3388988	OF780
-	462	16080357	fumC	BSU33040	-	COG0114C	fumarate hydratase	3389024	3390412	OR1
-	61	255767753	yvzF	BSU33049	-	-	hypothetical protein	3390479	3390664	OR1
+	482	255767754	gerAA	BSU33050	-	COG0785O	GerA germination receptor	3390782	3392230	OF781
+	365	16080359	gerAB	BSU33060	-	COG0814E	germination receptor GerA	3392199	3393296	OF781
+	373	16080360	gerAC	BSU33070	-	-	germination receptor GerA	3393293	3394414	OF781
-	211	16080361	liaR	BSU33080	-	COG2197TK	two-component response regulator YvqE responding to cell wall stress	3394422	3395057	OR1
-	360	16080362	liaS	BSU33090	-	COG4585T	two-component sensor histidine kinase YvqC sensing cell wall stress	3395035	3396117	OR1
-	241	16080363	liaF	BSU33100	-	COG4758S	hypothetical protein	3396114	3396839	OR1
-	290	255767755	liaG	BSU33110	-	COG3595S	hypothetical protein	3396873	3397745	OR1
-	225	16080365	liaH	BSU33120	-	COG1842KT	modulator of liaIHGFSR (yvqIHGFEC) operon expression	3397846	3398523	OR1
-	126	16080366	liaI	BSU33130	-	COG4758S	permease	3398550	3398930	OR1
-	422	16080367	yvqJ	BSU33140	-	-	efflux protein	3399092	3400360	OR1
-	193	255767756	yvqK	BSU33150	-	COG2096S	ATP:cob(I)alamin adenosyltransferase	3400537	3401118	OR1
-	442	16080369	yvrA	BSU33160	-	COG1120PH	vitamin B12 transport system, ATPase component	3401141	3402469	OR1
-	353	16080370	yvrB	BSU33170	-	COG0609P	vitamin B12 permease	3402469	3403530	OR1
-	314	16080371	yvrC	BSU33180	-	COG0614P	lipoprotein binding vitamin B12	3403493	3404437	OR1
+	263	16080372	yvrD	BSU33190	-	COG1028IQR	oxidoreductase	3404835	3405626	OF781
-	292	16080373	yvrE	BSU33200	-	COG3386G	hypothetical protein	3405664	3406542	OR1
-	580	255767757	yvrG	BSU33210	-	COG0642T	two-component sensor histidine kinase YvrG	3406614	3408356	OR1
-	237	255767758	yvrH	BSU33221	-	COG0745TK	two-component response regulator YvrH	3408353	3409066	OR1
-	79	255767759	rsoA	BSU33222	-	-	hypothetical protein	3409219	3409458	OR1
-	176	255767760	sigO	BSU33230	-	COG1191K	alternative sigma factor	3409462	3409992	OR1
+	112	255767761	yvrJ	BSU33239	-	-	hypothetical protein	3410007	3410345	OF782
+	385	16080377	oxdC	BSU33240	-	COG2140GR	oxalate decarboxylase	3410466	3411623	OF783
+	136	16080378	yvrL	BSU33250	-	-	hypothetical protein	3411684	3412094	OF784
-	409	255767762	yvrN	BSU33260	-	COG0577V	ABC transporter ATP-binding protein	3412128	3413357	OR1
-	229	50812293	yvrO	BSU33270	-	COG1136V	ABC transporter ATP-binding protein	3413350	3414039	OR1
-	397	16080382	yvrP	BSU33280	-	COG0845M	ABC transporter	3414023	3415216	OR1
-	269	16080383	fhuC	BSU33290	-	COG1120PH	ferrichrome ABC transporter ATP-binding protein	3415387	3416196	OR1
-	336	16080384	fhuG	BSU33300	-	COG0609P	ferrichrome ABC transporter permease	3416212	3417222	OR1
-	384	16080385	fhuB	BSU33310	-	COG0609P	ferrichrome ABC transporter permease	3417222	3418376	OR1
+	315	16080386	fhuD	BSU33320	-	COG0614P	ferrichrome ABC transporter substrate-binding protein	3418474	3419421	OF785
-	469	16080387	lysP	BSU33330	-	COG0531E	lysine permease	3419656	3421065	OR1
-	46	50812294	sspJ	BSU33340	-	-	small acid-soluble spore protein	3421465	3421605	OR1
+	160	16080388	yvsG	BSU33350	-	COG1988R	membrane hydrolase	3421772	3422254	OF786
+	617	16080389	yvgJ	BSU33360	-	COG1368M	transporter	3422354	3424207	OF787
-	308	16080390	yvgK	BSU33370	-	COG1910P	molybdate binding regulator	3424235	3425161	OR1
+	260	16080391	yvgL	BSU33380	-	COG0725P	molybdate-binding lipoprotein	3425272	3426054	OF788
+	227	255767763	yvgM	BSU33390	-	COG4149P	molybdenum transport permease	3426035	3426718	OF788
-	276	16080393	yvgN	BSU33400	-	COG0656R	glyoxal/methylglyoxal reductase	3426749	3427579	OR1
+	161	16080394	yvgO	BSU33410	-	-	hypothetical protein	3427802	3428287	OF788
-	670	16080395	nhaK	BSU33420	-	COG0025P	Na+/H+ antiporter	3428331	3430343	OR1
-	571	16080396	yvgQ	BSU33430	-	COG0155P	sulfite reductase subunit beta	3430598	3432313	OR1
-	605	16080397	cysJ	BSU33440	-	COG0369P	sulfite reductase flavoprotein subunit alpha	3432339	3434156	OR1
-	774	16080398	helD	BSU33450	-	COG3973R	DNA 3'-5' helicase IV	3434327	3436651	OR1
-	202	16080399	yvgT	BSU33460	-	COG2860S	hypothetical protein	3436849	3437457	OR1
-	138	16080400	bdbC	BSU33470	-	COG1495O	thiol-disulfide oxidoreductase	3437644	3438060	OR1
-	222	16080401	bdbD	BSU33480	-	COG1651O	thiol-disulfide oxidoreductase	3438065	3438733	OR1
-	699	255767764	copB	BSU33490	-	COG2217P	copper(I)-transporting ATPase	3438853	3440952	OR1
-	802	255767765	copA	BSU33500	-	COG2217P	copper transporter ATPase	3441121	3443529	OR1
-	69	16080404	copZ	BSU33510	-	COG2608P	copper insertion chaperone and transporter	3443613	3443822	OR1
-	101	16080405	csoR	BSU33520	-	COG1937S	repressor of copper utilisation proteins	3443896	3444201	OR1
+	358	16080406	yvaA	BSU33530	-	COG0673R	oxidoreductase	3444329	3445405	OF789
-	211	16080407	yvaB	BSU33540	-	COG1182I	azoreductase	3445442	3446077	OR1
-	631	16080408	yvaC	BSU33550	-	COG1289S	hypothetical protein	3446237	3448132	OR1
-	133	16080409	yvaD	BSU33560	-	-	hypothetical protein	3448295	3448696	OR1
-	119	16080410	yvaE	BSU33570	-	COG2076P	metabolite-efflux transporter	3448693	3449052	OR1
-	190	16080411	yvaF	BSU33580	-	COG1309K	transcriptional regulator	3449049	3449621	OR1
-	264	16080412	yvaG	BSU33590	-	COG1028IQR	oxidoreductase	3449732	3450526	OR1
-	156	16080413	smpB	BSU33600	-	COG0691O	SsrA-binding protein	3451248	3451718	OR1
-	779	16080414	rnr	BSU33610	-	COG0557K	ribonuclease R	3451863	3454202	OR1
-	248	16080415	yvaK	BSU33620	-	COG1647R	carboxylesterase	3454221	3454967	OR1
-	76	16080416	secG	BSU33630	-	COG1314U	preprotein translocase subunit SecG	3455093	3455323	OR1
+	256	16080417	yvaM	BSU33640	-	COG0596R	hydrolase	3455472	3456242	OF790
-	77	16080418	yvzC	BSU33650	-	COG1476K	transcriptional regulator	3456282	3456515	OR1
+	135	16080419	rghRA	BSU33660	-	COG1709K	transcriptional repressor	3456667	3457074	OF791
+	139	16080420	rghRB	BSU33670	-	COG1396K	transcriptional repressor	3457104	3457523	OF791
+	108	255767766	yvaP	BSU33680	-	COG1733K	transcriptional regulator	3457615	3457941	OF791
+	566	16080422	yvaQ	BSU33690	-	COG0840NT	methyl-accepting transducer	3458066	3459766	OF792
-	226	16080423	opuBD	BSU33700	-	COG1174E	choline ABC transporter permease	3459806	3460486	OR1
-	306	16080424	opuBC	BSU33710	-	COG1732M	choline ABC transporter choline-binding lipoprotein	3460503	3461423	OR1
-	217	16080425	opuBB	BSU33720	-	COG1174E	choline ABC transporter permease	3461435	3462088	OR1
-	381	16080426	opuBA	BSU33730	-	COG1125E	choline ABC transporter ATP-binding protein	3462105	3463250	OR1
+	177	255767767	yvaV	BSU33740	-	COG1510K	transcriptional regulator	3463534	3464067	OF793
+	158	16080428	sdpA	BSU33750	-	-	export of killing factor	3464289	3464765	OF794
+	323	16080429	sdpB	BSU33760	-	-	exporter of killing factor SpbC	3464762	3465733	OF794
+	203	16080430	spbC	BSU33770	-	-	killing factor SdpC	3465776	3466387	OF794
-	207	16080431	sdpI	BSU33780	-	COG5658S	integral inner membrane regulator of autophagy	3466434	3467057	OR1
-	90	16080432	sdpR	BSU33790	-	COG0640K	ArsR family transcriptional regulator	3467054	3467326	OR1
-	229	16080433	opuCD	BSU33800	-	COG1174E	glycine betaine/carnitine/choline/choline sulfate ABC transporter permease	3467546	3468235	OR1
-	303	16080434	opuCC	BSU33810	-	COG1732M	glycine betaine/carnitine/choline/choline sulfate ABC transporter osmoprotectant-binding lipoprotein	3468253	3469164	OR1
-	217	16080435	opuCB	BSU33820	-	COG1174E	glycine betaine/carnitine/choline/choline sulfate ABC transporter permease	3469184	3469837	OR1
-	380	16080436	opuCA	BSU33830	-	COG1125E	glycine betaine/carnitine/choline/choline sulfate ABC transporter ATP-binding protein	3469860	3471002	OR1
+	185	16080437	yvbF	BSU33840	-	COG1510K	transcriptional regulator	3471266	3471823	OF794
-	211	16080438	yvbG	BSU33850	-	COG2095U	hypothetical protein	3471841	3472476	OR1
+	204	16080439	yvbH	BSU33860	-	COG5245Z	hypothetical protein	3472626	3473240	OF795
+	232	16080440	yvbI	BSU33870	-	-	permease	3473372	3474070	OF796
-	605	16080441	yvbJ	BSU33880	-	COG4640S	hypothetical protein	3474106	3475923	OR1
+	155	16080442	yvbK	BSU33890	-	COG0456R	acyltransferase	3476043	3476510	OF797
-	430	16080443	eno	BSU33900	-	COG0148G	phosphopyruvate hydratase	3476555	3477847	OR1
-	511	16080444	pgm	BSU33910	-	COG0696G	phosphoglyceromutase	3477877	3479412	OR1
-	253	16080445	tpiA	BSU33920	-	COG0149G	triosephosphate isomerase	3479405	3480166	OR1
-	394	16080446	pgk	BSU33930	-	COG0126G	phosphoglycerate kinase	3480197	3481381	OR1
-	335	16080447	gapA	BSU33940	-	COG0057G	glyceraldehyde-3-phosphate dehydrogenase	3481698	3482705	OR1
-	340	16080448	cggR	BSU33950	-	COG2390K	gapA transcriptional regulator	3482752	3483774	OR1
-	464	16080449	araE	BSU33960	-	COG2814G	arabinose-like permease	3484072	3485466	OR1
+	384	16080450	araR	BSU33970	-	COG1609K	transcriptional repressor	3485604	3486758	OF798
-	336	16080451	yvbT	BSU33980	-	COG2141C	alkanal monooxygenase	3486807	3487817	OR1
-	292	16080452	yvbU	BSU33990	-	COG0583K	LysR family transcriptional regulator	3487974	3488852	OR1
+	305	16080453	cyeB	BSU34000	-	COG5006R	cysteine and O-acetylserine efflux permease	3488952	3489869	OF799
-	447	16080454	yvbW	BSU34010	-	COG1113E	amino acid permease	3489910	3491253	OR1
-	344	16080455	yvbX	BSU34020	-	COG3858R	epimerase	3491655	3492689	OR1
-	240	16080456	yvbY	BSU34030	-	COG1556S	subunit of an iron-sulfur protein	3492797	3493519	OR1
-	479	16080457	yvfW	BSU34040	-	COG1139C	iron-sulfur oxidoreductase	3493519	3494958	OR1
-	238	16080458	yvfV	BSU34050	-	COG0247C	iron-sulfur heterodisulfide reductase	3494985	3495701	OR1
-	200	16080459	yvfU	BSU34060	-	COG2197TK	two-component response regulator YvfT	3495876	3496478	OR1
-	328	16080460	yvfT	BSU34070	-	COG4585T	two-component sensor histidine kinase YvfU	3496495	3497481	OR1
-	245	16080461	yvfS	BSU34080	-	COG0842V	ABC transporter permease	3497614	3498351	OR1
-	301	16080462	yvfR	BSU34090	-	COG1131V	efflux ABC transporter ATP-binding protein	3498352	3499257	OR1
+	269	16080463	rsbQ	BSU34100	-	COG0596R	regulator of RsbP phosphatase	3499541	3500350	OF800
+	403	16080464	rsbP	BSU34110	-	COG2208TK	serine phosphatase	3500386	3501597	OF800
-	429	50812295	ganB	BSU34120	-	COG3867G	secreted arabinogalactan oligomer endo-hydrolase	3501651	3502940	OR1
-	687	16080466	ganA	BSU34130	-	COG1874G	arabinogalactan type I oligomer exo-hydrolase	3503020	3505083	OR1
-	283	16080467	ganQ	BSU34140	-	COG3833G	arabinogalactan oligomer permease	3505102	3505953	OR1
-	418	16080468	ganP	BSU34150	-	COG1175G	arabinogalactan oligomer permease	3505957	3507213	OR1
-	421	16080469	cycB	BSU34160	-	COG2182G	cyclodextrin-binding lipoprotein	3507253	3508518	OR1
-	330	16080470	ganR	BSU34170	-	COG1609K	LacI family transcriptional regulator	3508659	3509651	OR1
-	219	255767768	yvfI	BSU34180	-	COG2186K	GntR family transcriptional regulator	3509831	3510490	OR1
+	563	16080472	yvfH	BSU34190	-	COG1620C	lactate permease	3510780	3512471	OF800
-	436	16080473	sigL	BSU34200	-	COG1508K	RNA polymerase sigma-54 factor (sigma-L)	3512498	3513808	OR1
+	72	16080474	yvfG	BSU34210	-	-	hypothetical protein	3513887	3514105	OF801
-	322	16080475	epsO	BSU34220	-	COG5039GM	pyruvyl transferase	3514115	3515083	OR1
-	388	50812296	epsN	BSU34230	-	COG0399M	aminotransferase	3515062	3516228	OR1
-	216	16080477	epsM	BSU34240	-	COG0663R	O-acetyltransferase	3516233	3516883	OR1
-	202	16080478	epsL	BSU34250	-	COG2148M	phosphotransferase	3516880	3517488	OR1
-	505	255767769	epsK	BSU34265	-	COG2244R	extracellular matrix component exporter	3517485	3519002	OR1
-	344	16080481	epsJ	BSU34280	-	COG0463M	glycosyl transferase family protein	3518999	3520033	OR1
-	358	16080482	epsI	BSU34290	-	COG5039GM	polysaccharide pyruvyl transferase	3520030	3521106	OR1
-	344	16080483	epsH	BSU34300	-	COG0463M	glycosyltransferase	3521111	3522145	OR1
-	367	16080484	epsG	BSU34310	-	-	biofilm extracellular matrix formation enzyme	3522170	3523273	OR1
-	384	16080485	epsF	BSU34320	-	COG0438M	glycosyltransferase	3523270	3524424	OR1
-	278	255767770	epsE	BSU34330	-	COG0463M	glycosyltransferase	3524417	3525253	OR1
-	381	16080487	epsD	BSU34340	-	COG0438M	extracellular matrix biosynthesis enzyme	3525250	3526395	OR1
-	598	16080488	epsC	BSU34350	-	COG1086MG	UDP-sugar epimerase	3526407	3528203	OR1
-	227	16080489	epsB	BSU34360	-	COG0489D	protein tyrosine kinase	3528462	3529145	OR1
-	234	16080490	epsA	BSU34370	-	COG3944M	modulator of protein tyrosine kinase EpsB	3529151	3529855	OR1
+	152	16080491	slrR	BSU34380	-	COG1396K	transcriptional regulator	3530101	3530559	OF802
+	489	16080492	pnbA	BSU34390	-	COG2272I	para-nitrobenzyl esterase (intracellular esterase B)	3530635	3532104	OF803
-	161	16080493	padC	BSU34400	-	COG3479Q	phenolic acid decarboxylase	3532325	3532810	OR1
-	95	16080494	yveG	BSU34410	-	-	hypothetical protein	3532833	3533120	OR1
-	30	16080495	yveF	BSU34420	-	-	hypothetical protein	3533196	3533288	OR1
-	227	16080496	racX	BSU34430	-	COG1794M	amino acid racemase	3533419	3534102	OR1
-	451	16080497	pbpE	BSU34440	-	COG1680V	penicillin-binding protein 4*	3534118	3535473	OR1
+	473	16080498	sacB	BSU34450	-	-	levansucrase	3536012	3537433	OF804
+	516	16080499	levB	BSU34460	-	COG1621G	endolevanase	3537507	3539057	OF805
+	520	16080500	yveA	BSU34470	-	COG0531E	L-aspartate/L-glutamate permease	3539165	3540727	OF806
+	194	16080501	yvdT	BSU34480	-	COG1309K	TetR/AcrR family transcriptional regulator	3540822	3541406	OF807
+	111	16080502	yvdS	BSU34490	-	COG2076P	hypothetical protein	3541488	3541823	OF808
+	106	16080503	yvdR	BSU34500	-	COG2076P	hypothetical protein	3541823	3542143	OF808
-	170	16080504	yvdQ	BSU34510	-	-	hypothetical protein	3542179	3542691	OR1
-	447	16080505	yvdP	BSU34520	-	COG0277C	spore coat protein; oxidoreductase	3542943	3544286	OR1
+	320	16080506	cotR	BSU34530	-	COG3621R	spore coat protein assembly factor CotR	3544642	3545604	OF808
+	197	16080507	clpP	BSU34540	-	COG0740OU	ATP-dependent Clp protease proteolytic subunit	3546234	3546827	OF809
-	226	16080508	pgcM	BSU34550	-	COG0637R	beta-phosphoglucomutase	3546873	3547553	OR1
-	561	16080509	malL	BSU34560	-	COG0366G	oligo-1,4-1,6-alpha-glucosidase	3547550	3549235	OR1
-	757	16080510	yvdK	BSU34570	-	COG1554G	maltose phosphorylase	3549228	3551501	OR1
-	294	16080511	yvdJ	BSU34580	-	COG5521S	transporter protein	3551479	3552363	OR1
-	278	16080512	mdxG	BSU34590	-	COG3833G	maltodextrin ABC transporter permease	3552369	3553205	OR1
-	435	16080513	mdxF	BSU34600	-	COG1175G	maltodextrin ABC transport system permease	3553206	3554513	OR1
-	417	16080514	mdxE	BSU34610	-	COG2182G	maltose/maltodextrin-binding lipoprotein	3554553	3555806	OR1
-	589	16080515	mdxD	BSU34620	-	COG0366G	glucan 1,4-alpha-maltohexaosidase	3555902	3557671	OR1
-	316	16080516	mdxR	BSU34630	-	COG1609K	LacI family transcriptional regulator	3557784	3558734	OR1
-	191	16080517	yvdD	BSU34640	-	COG1611R	hypothetical protein	3558940	3559515	OR1
+	106	16080518	yvdC	BSU34650	-	COG1694R	pyrophosphohydrolase	3559632	3559952	OF810
-	530	16080519	yvdB	BSU34660	-	COG0659P	anion transporter	3559979	3561571	OR1
-	197	16080520	yvdA	BSU34670	-	COG0288P	carbonic anhydrase	3561590	3562183	OR1
+	325	16080521	yvcT	BSU34680	-	COG1052CHR	2-hydroxyacid dehydrogenase	3562566	3563543	OF811
-	646	16080522	yvcS	BSU34690	-	COG3127Q	ABC transporter permease	3563581	3565521	OR1
-	259	16080523	yvcR	BSU34700	-	COG1136V	ABC transporter ATP-binding protein	3565496	3566275	OR1
-	356	16080524	yvcQ	BSU34710	-	COG0642T	two-component sensor histidine kinase YvcP	3566358	3567428	OR1
-	237	16080525	yvcP	BSU34720	-	COG0745TK	two-component response regulator YvcQ	3567422	3568135	OR1
+	69	255767771	yvzJ	BSU34729	-	-	lipoprotein	3568282	3568491	OF812
-	254	16080526	yvcN	BSU34730	-	COG2162Q	acetyltransferase	3568527	3569291	OR1
-	85	16080527	crh	BSU34740	-	COG1925G	phosphocarrier protein Chr	3569292	3569549	OR1
-	316	16080528	whiA	BSU34750	-	COG1481S	morphogen	3569573	3570523	OR1
-	317	50812297	yvcK	BSU34760	-	COG0391S	gluconeogenesis factor	3570546	3571499	OR1
-	295	16080530	yvcJ	BSU34770	-	COG1660R	hypothetical protein	3571501	3572388	OR1
-	158	16080531	yvcI	BSU34780	-	COG1051F	triphosphate pyrophosphate hydrolase	3572413	3572889	OR1
-	316	16080532	trxB	BSU34790	-	COG0492O	thioredoxin reductase	3573207	3574157	OR1
-	473	16080533	cwlO	BSU34800	-	COG3883S	secreted cell wall DL-endopeptidase	3574363	3575784	OR1
-	484	16080534	yvcD	BSU34810	-	COG4783R	hypothetical protein	3576165	3577619	OR1
-	589	16080535	bmrA	BSU34820	-	COG1132V	efflux transporter ATP-binding and permease	3577745	3579514	OR1
-	119	16080536	yvzA	BSU34830	-	-	hypothetical protein	3579679	3580038	OR1
-	636	16080537	yvcB	BSU34840	-	-	hypothetical protein	3580053	3581963	OR1
-	241	16080538	yvcA	BSU34850	-	-	lipoprotein	3581965	3582690	OR1
-	209	16080539	hisI	BSU34860	-	COG0139E	bifunctional phosphoribosyl-AMP cyclohydrolase/phosphoribosyl-ATP pyrophosphatase	3582936	3583565	OR1
-	252	16080540	hisF	BSU34870	-	COG0107E	imidazole glycerol phosphate synthase subunit HisF	3583562	3584320	OR1
-	245	16080541	hisA	BSU34880	-	COG0106E	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase	3584317	3585054	OR1
-	212	16080542	hisH	BSU34890	-	COG0118E	imidazole glycerol phosphate synthase subunit HisH	3585051	3585689	OR1
-	194	16080543	hisB	BSU34900	-	COG0131E	imidazoleglycerol-phosphate dehydratase	3585690	3586274	OR1
-	427	16080544	hisD	BSU34910	-	COG0141E	histidinol dehydrogenase	3586271	3587554	OR1
-	213	16080545	hisG	BSU34920	-	COG0040E	ATP phosphoribosyltransferase	3587551	3588192	OR1
-	391	16080546	hisZ	BSU34930	-	COG3705E	ATP phosphoribosyltransferase	3588185	3589360	OR1
+	250	16080547	yvpB	BSU34940	-	COG4990S	hydrolase	3589611	3590363	OF813
+	221	16080548	pelC	BSU34950	-	-	secreted pectate lyase	3590603	3591268	OF814
-	172	16080549	yvoF	BSU34960	-	COG0110R	O-acetyltransferase	3591288	3591806	OR1
-	216	16080550	hprP	BSU34970	-	COG0546R	pyrophosphatase PpaX	3591810	3592460	OR1
